admin_ulb_code,ward_code,complaint_count,avg_severity_score,high_severity_share,avg_sentiment_score,escalation_rate,sla_breach_rate,unresolved_rate,lat,lon,hotspot_count,risk_score,ml_risk_score,risk_label,recommended_action
ULB_CHD,W14,18,0.4739444444444445,0.16666666666666666,-0.13,0.2222222222222222,0.0,0.6111111111111112,19.940218,79.32097738888889,9,0.539,0.517,MEDIUM,Monitor trend and prepare ward-level mitigation
ULB_CHD,W05,20,0.44295,0.05,-0.10800000000000001,0.3,0.0,0.45,19.94785195,79.3246389,8,0.516,0.514,MEDIUM,Monitor trend and prepare ward-level mitigation
ULB_CHD,W06,17,0.4915882352941176,0.23529411764705882,-0.14823529411764705,0.23529411764705882,0.0,0.5294117647058824,19.959040235294115,79.32809794117647,8,0.51,0.512,MEDIUM,Monitor trend and prepare ward-level mitigation
ULB_CHD,W01,20,0.4572,0.1,-0.144,0.35,0.0,0.65,19.9428267,79.3160743,6,0.513,0.504,MEDIUM,Monitor trend and prepare ward-level mitigation
ULB_CHD,W09,20,0.46765,0.2,-0.11699999999999999,0.3,0.0,0.55,19.946804222222223,79.34449572222222,6,0.499,0.503,MEDIUM,Monitor trend and prepare ward-level mitigation
ULB_CHD,W04,19,0.4497894736842105,0.15789473684210525,-0.09473684210526315,0.2631578947368421,0.0,0.6842105263157895,19.948862444444444,79.32292661111111,6,0.499,0.5,MEDIUM,Monitor trend and prepare ward-level mitigation
ULB_CHD,W02,18,0.4561111111111111,0.05555555555555555,-0.09,0.3333333333333333,0.0,0.5,19.950566055555555,79.30982938888889,7,0.495,0.498,MEDIUM,Monitor trend and prepare ward-level mitigation
ULB_CHD,W11,19,0.4377894736842105,0.0,-0.09473684210526315,0.3157894736842105,0.0,0.47368421052631576,19.93091057894737,79.30306005263158,7,0.493,0.497,MEDIUM,Monitor trend and prepare ward-level mitigation
ULB_CHD,W12,17,0.5083529411764706,0.29411764705882354,-0.09529411764705882,0.23529411764705882,0.0,0.8823529411764706,19.956240705882355,79.313695,5,0.504,0.489,MEDIUM,Monitor trend and prepare ward-level mitigation
ULB_CHD,W07,16,0.459375,0.125,-0.12375,0.1875,0.0,0.6875,19.9497965,79.32693125,7,0.489,0.476,MEDIUM,Monitor trend and prepare ward-level mitigation
