hotspot_id,category,complaint_count,center_lat,center_lon,avg_sentiment_score,avg_urgency_score,ulbs,wards
building_safety_0,building_safety,4,19.95066925,79.3456425,-0.045,0.295,ULB_CHD,"W01,W02,W11,W14"
drainage_0,drainage,4,19.84752775,75.30953525,-0.135,0.385,ULB_AUR,"W03,W08,W13,W16"
drainage_1,drainage,4,19.9020465,79.3194505,-0.135,0.385,ULB_CHD,"W01,W07,W17,W19"
grievance_general_0,grievance_general,13,19.977918846153845,79.35053307692307,-0.02769230769230769,0.2776923076923077,ULB_CHD,"W01,W02,W03,W05,W07,W09,W10,W11,W13,W18"
grievance_general_1,grievance_general,19,19.98532247368421,79.27814826315789,-0.028421052631578948,0.2594736842105263,ULB_CHD,"Non,W01,W02,W03,W04,W05,W07,W08,W10,W12,W13,W14,W16,W18"
grievance_general_10,grievance_general,4,20.02752225,73.8808105,-0.045,0.295,ULB_NAS,"W10,W11,W13,W20"
grievance_general_11,grievance_general,5,19.905957,75.3282566,-0.18,0.25,ULB_AUR,"W06,W09,W10,W13"
grievance_general_12,grievance_general,6,20.09040883333333,73.821349,-0.06,0.25,ULB_NAS,"W02,W03,W04,W09,W15"
grievance_general_13,grievance_general,6,19.898949666666667,79.26650333333333,-0.03,0.25,ULB_CHD,"W03,W11,W14,W17,W20"
grievance_general_14,grievance_general,5,19.8465518,75.42252260000001,-0.144,0.25,ULB_AUR,"W07,W10,W13,W19"
grievance_general_15,grievance_general,4,19.8325645,75.259978,-0.09,0.25,ULB_AUR,"W01,W08,W09,W20"
grievance_general_2,grievance_general,12,19.93370283333333,79.31378175,-0.06,0.27999999999999997,ULB_CHD,"Non,W01,W02,W04,W06,W09,W10,W11,W17,W19,W20"
grievance_general_3,grievance_general,4,19.951541,79.3756895,0.0,0.295,ULB_CHD,"W04,W13,W17,W20"
grievance_general_4,grievance_general,7,19.915364714285715,75.42764985714287,-0.07714285714285715,0.2757142857142857,ULB_AUR,"W01,W02,W05,W06,W13,W17,W18"
grievance_general_5,grievance_general,5,20.0632028,73.8196094,-0.072,0.286,ULB_NAS,"W12,W15,W16,W17,W20"
grievance_general_6,grievance_general,4,19.976419,73.85629,0.0,0.295,ULB_NAS,"Non,W09,W13,W19"
grievance_general_7,grievance_general,4,19.96595125,79.31646325,-0.135,0.25,ULB_CHD,"W04,W05,W16,W18"
grievance_general_8,grievance_general,5,19.893255,79.34781319999999,0.0,0.25,ULB_CHD,"W04,W05,W11,W12,W15"
grievance_general_9,grievance_general,8,19.941903875,79.256889875,-0.0675,0.2725,ULB_CHD,"W01,W07,W09,W11,W12,W14,W19"
public_health_0,public_health,4,19.96940125,79.34023825,-0.18,0.25,ULB_CHD,"W02,W06,W10,W14"
water_supply_0,water_supply,5,20.0140594,73.7410328,-0.18,0.32199999999999995,ULB_NAS,"W03,W06,W11,W14,W20"
water_supply_1,water_supply,13,19.965960153846154,79.37349476923077,-0.11076923076923076,0.31923076923076926,ULB_CHD,"W02,W04,W06,W07,W08,W12,W13,W15,W19,W20"
water_supply_10,water_supply,4,19.9185875,79.383404,-0.18,0.33999999999999997,ULB_CHD,"W06,W09,W14,W15"
water_supply_11,water_supply,4,20.00511975,73.85013574999999,-0.225,0.33999999999999997,ULB_NAS,"W06,W13,W16,W19"
water_supply_12,water_supply,5,20.0783696,73.7657104,-0.10800000000000001,0.32199999999999995,ULB_NAS,"W04,W05,W09,W12,W13"
water_supply_13,water_supply,4,20.051239250000002,73.72882200000001,-0.09,0.25,ULB_NAS,"Non,W01,W15,W18"
water_supply_14,water_supply,4,20.0314195,73.78192675,-0.09,0.25,ULB_NAS,"W05,W06,W13,W16"
water_supply_15,water_supply,4,19.97381475,79.29809775,-0.135,0.33999999999999997,ULB_CHD,"W06,W11,W18"
water_supply_2,water_supply,4,19.91101675,75.3478035,-0.045,0.25,ULB_AUR,"W07,W11,W16,W18"
water_supply_3,water_supply,5,19.9846688,73.7997506,-0.072,0.286,ULB_NAS,"W05,W08,W10,W13,W18"
water_supply_4,water_supply,5,19.943866800000002,75.3070396,-0.144,0.32199999999999995,ULB_AUR,"W05,W11,W18,W19"
water_supply_5,water_supply,5,19.892139800000002,79.341149,-0.10800000000000001,0.286,ULB_CHD,"W05,W07,W08,W10,W20"
water_supply_6,water_supply,6,19.834235333333336,75.38541766666667,-0.06,0.27999999999999997,ULB_AUR,"W02,W03,W04,W05,W11,W17"
water_supply_7,water_supply,5,19.9269588,79.2742172,-0.144,0.394,ULB_CHD,"Non,W06,W13,W17,W18"
water_supply_8,water_supply,4,20.003294750000002,79.299574,-0.045,0.25,ULB_CHD,"W02,W05,W08,W16"
water_supply_9,water_supply,3,19.938083000000002,79.34294733333333,-0.3,0.36999999999999994,ULB_CHD,"W06,W14"
